"Item", "Circuit Code", "Part Value"       , "Description"              , "Footprint"   , "Supplier"
"73"  , "R114"        , "1 k"              , "Resistor"                 , "1206R"       ,
"74"  , "R115"        , "1 k"              , "Resistor"                 , "1206R"       ,
"75"  , "R116"        , "560 R"            , "Resistor"                 , "1206R"       ,
"76"  , "R117"        , "11 k"             , "Resistor"                 , "1206R"       ,
"77"  , "R118"        , "56 R"             , "Resistor"                 , "1206R"       ,
"78"  , "R119"        , "13 k"             , "Resistor"                 , "1206R"       ,
"79"  , "R120"        , "1 k"              , "Resistor"                 , "1206R"       ,
"80"  , "R121"        , "0 R"              , "Resistor"                 , "1206R"       ,
"81"  , "R122"        , "820 R"            , "Resistor"                 , "1206R"       ,
"82"  , "R123"        , "510 R"            , "Resistor"                 , "1206R"       ,
"83"  , "R124"        , "NC"               , "Resistor"                 , "1206R"       ,
"84"  , "R125"        , "3k6"              , "Resistor"                 , "1206R"       ,
"85"  , "R200"        , "10 R"             , "Resistor"                 , "0805R"       ,
"86"  , "R202"        , "10 R"             , "Resistor"                 , "0805R"       ,
"87"  , "R203"        , "11 k"             , "Resistor"                 , "0805R"       ,
"88"  , "R204"        , "11 k"             , "Resistor"                 , "0805R"       ,
"89"  , "R205"        , "200 k"            , "Resistor"                 , "0805R"       ,
"90"  , "R206"        , "5k6/1%"           , "Resistor"                 , "0805R"       ,
"91"  , "R207"        , "12 k/0,1%"        , "Resistor"                 , "0805R"       ,
"92"  , "R208"        , "402 k"            , "Resistor"                 , "0805R"       ,
"93"  , "R209"        , "300 k"            , "Resistor"                 , "0805R"       ,
"94"  , "R210"        , "680 k"            , "Resistor"                 , "0805R"       ,
"95"  , "R211"        , "110 k/1%"         , "Resistor"                 , "0805R"       ,
"96"  , "R212"        , "200 R"            , "Resistor"                 , "1206R"       ,
"97"  , "R213"        , "1M0"              , "Resistor"                 , "0805R"       ,
"98"  , "R214"        , "1M0"              , "Resistor"                 , "0805R"       ,
"99"  , "R215"        , "2M0"              , "Resistor"                 , "0805R"       ,
"100" , "R216"        , "51 k/1%"          , "Resistor"                 , "0805R"       ,
"101" , "R217"        , "NC"               , "Resistor"                 , "0805R"       ,
"102" , "R218"        , "51 k/1%"          , "Resistor"                 , "0805R"       ,
"103" , "R219"        , "NC"               , "Resistor"                 , "0805R"       ,
"104" , "R220"        , "0R"               , "Resistor"                 , "0805R"       ,
"105" , "R221"        , "NC"               , "Resistor"                 , "0805R"       ,
"106" , "R222"        , "0 R"              , "Resistor"                 , "0805R"       ,
"107" , "R223"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"108" , "R224"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"109" , "R225"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"110" , "R226"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"111" , "R227"        , "24 k"             , "Resistor"                 , "0805R"       ,
"112" , "R228"        , "62 R"             , "Resistor"                 , "0805R"       ,
"113" , "R229"        , "1R0"              , "Resistor"                 , "1206R"       ,
"114" , "R230"        , "1R0"              , "Resistor"                 , "1206R"       ,
"115" , "RT100"       , "2R5"              , "NTC Thermister"           , "NTC7.5"      ,
"116" , "TR100"       , "Lp = 690 uH"      , "LLC Resonant Transformer" , "PQ3230"      , "WE 750341496"
"117" , "TR101"       , "Lp = 2,8 mH (min)", "Pulse Transformer Wurth"  , "EE13"        , "WE 750342744"
"118" , "ZD100"       , "5V1"              , "Zener Diode"              , "1206D"       ,
"119" , "ZD101"       , "5V1"              , "Zener Diode"              , "1206D"       ,
"120" , "ZD102"       , "NC"               , "Zener Diode"              , "1206D"       ,
